영화명,감독,제작국가,개봉일,장르,누적관객수,누적매출액,예측_누적관객수,평점
기적의 시작,권순도,한국,2024-02-22,다큐멘터리,,,46691.656,7
바람개비,이상훈,한국,2023-05-10,액션,,,266760.88,3
극장판 여성향 게임의 파멸 플래그밖에 없는 악역 영애로 환생해버렸다...,이노우에 케이스케,일본,2024-04-04,애니메이션,,,99196.23,3
오마주,신수원,한국,2022-05-26,드라마,6774.0,55828400.0,-4649.508,7
우당탕탕 운동회,이광범,한국,2024-04-03,기타,,,93459.65,7
키메라,알리체 로르와커,이탈리아,2024-04-03,드라마,,,90823.49,8
카니펙스: 죽음의 숲,,호주,2024-04-03,공포(호러),,,91295.38,10
잔 뒤 바리,마이웬 르 베스코,프랑스,2024-04-03,드라마,,,90823.49,4
유미의 세포들 더 무비,,한국,2024-04-03,애니메이션,49392.0,378685320.0,224049.28,9
신 가면라이더,안노 히데아키,일본,2024-04-03,액션,,,216962.25,7
라스트 썸머,카트린느 브레이야,프랑스,2024-04-03,드라마,,,90823.49,7
그날의 딸들,고훈,한국,2024-04-03,다큐멘터리,,,93459.65,4
시민덕희,박영주,한국,2024-01-24,드라마,1695197.0,16025654774.0,1776434.1,2
3일의 휴가,육상효,한국,2023-12-06,판타지,487497.0,4597259062.0,493906.94,8
악은 존재하지 않는다,하마구치 류스케,일본,2024-03-27,드라마,19308.0,196186256.0,14529.171,7
언더 유어 베드,아사토 마리,일본,2024-04-01,스릴러,,,157192.02,9
패스트 라이브즈,셀린 송,미국,2024-03-06,드라마,107530.0,992260558.0,95949.59,4
두얼굴의 남편,,한국,2024-03-20,드라마,,,18816.262,4
부르달락: 흡혈귀,에이드리언 보우,프랑스,2024-03-28,기타,,,52678.668,4
드림쏭3,안소니 벨,미국,2024-03-28,애니메이션,,,159480.14,2
검치호,이강욱,한국,2024-03-28,액션,,,158055.62,8
탐정 말로,닐 조단,"아일랜드,미국",2024-03-21,범죄,13041.0,98410200.0,59168.05,7
완벽한 환승섹스,,한국,2024-03-11,드라마,,,67489.47,10
바람난 아내들,,한국,2024-03-11,드라마,,,67489.47,10
스텝 업: 브레이킹,"맥스 기와, 다니아 파스퀴니",영국,2024-03-23,드라마,,,-2141.5444,7
극장판 스파이 패밀리 코드 : 화이트,카타기리 타카시,일본,2024-03-20,애니메이션,261502.0,2611007725.0,440410.4,3
잠행,관지요,홍콩,2024-03-27,액션,,,164780.22,4
세월: 라이프 고즈 온,장민경,한국,2024-03-27,다큐멘터리,,,21452.453,9
래빗스쿨 2: 부활절 대소동,우테 폰 뮌쇼폴,독일,2024-03-27,애니메이션,,,158967.1,5
다운폴,올리버 히르비겔,독일,2024-03-27,전쟁,,,-2757.9448,10
고질라 X 콩: 뉴 엠파이어,아담 윈가드,미국,2024-03-27,액션,506726.0,5076739231.0,692002.8,7
르네에게,강승원,한국,2023-12-27,드라마,,,65566.27,5
5시부터 7시까지의 주희,장건재,한국,2023-11-08,드라마,,,143158.67,9
비밀의 언덕,이지은,한국,2023-07-12,기타,,,158113.47,6
이승윤 콘서트 도킹 : 리프트오프,,한국,2024-03-22,공연,,,-21519.664,10
리볼버 릴리,유키사다 이사오,일본,2024-03-21,액션,,,158055.62,8
그날이 와버렸네,김충길,한국,2024-03-21,드라마,,,49184.664,7
메이 디셈버,토드 헤인즈,미국,2024-03-13,드라마,23931.0,224006569.0,11097.557,2
시간을 꿈꾸는 소녀,박혁지,한국,2023-01-11,다큐멘터리,,,55468.523,4
머릿속을,조성규,한국,2024-01-24,드라마,,,76288.89,7
괴담만찬,"안상훈, 윤은경, 김용균, 임대웅, 채여준",한국,2023-10-18,공포(호러),,,39810.39,7
조용한 이주,말레나 최,덴마크,2024-03-20,드라마,,,18816.262,4
목스박,고훈,한국,2024-03-20,액션,,,164780.22,7
나이트 스윔,브라이스 맥과이어,미국,2024-03-20,공포(호러),14090.0,133484800.0,7570.245,8
"주사위놀이, 마불 세계여행",이광범,한국,2024-01-03,어드벤처,,,72587.26,7
미스터 보스,김형기,한국,2020-12-30,드라마,,,68930.2,4
로봇 드림,파블로 베르헤르,"스페인,프랑스",2024-03-13,애니메이션,,,158967.1,2
원 앤 온리,동성붕,중국,2024-03-13,드라마,,,18816.262,9
랜드 오브 배드,윌리엄 유뱅크,미국,2024-03-13,액션,40965.0,350177666.0,170979.73,4
공백,요시다 케이스케,일본,2024-03-16,드라마,,,-2141.5444,8
인어공주: 마법물약의 비밀,,미국,2024-03-14,애니메이션,,,159480.14,4
밥 말리: 원 러브,레이날도 마커스 그린,미국,2024-03-13,드라마,27283.0,250117549.0,14856.805,3
마담 웹,S.J. 클락슨,미국,2024-03-13,액션,,,164780.22,9
레이징 그레이스,패리스 자실라,영국,2024-03-13,스릴러,,,70406.734,3
들리나요?,"김봉한, 신승환",한국,2020-06-10,다큐멘터리,,,125580.92,7
데드맨,하준원,한국,2024-02-07,범죄,231476.0,2211484835.0,274850.5,3
사운드 오브 프리덤,알레한드로 고메즈 몬테베르드,미국,2024-02-21,범죄,43217.0,479900700.0,99537.305,5
피어썸,이상헌,한국,2021-10-07,공포(호러),,,36230.13,3
어디로 가고 싶으신가요,김희정,한국,2023-07-05,드라마,,,162355.42,6
생츄어리 2 : 쿼카가 너무해,리카르드 쿠소,호주,2024-03-07,애니메이션,,,159480.14,10
부활 그 소망,김상철,한국,2024-03-07,다큐멘터리,,,52678.668,6
엄마 바람피게하기,윤원규,한국,2020-01-16,코미디,,,62641.74,7
신황제를 위하여,이수성,한국,2022-12-19,액션,,,99004.77,9
대가리3-일진후배들,이수성,한국,2022-06-24,액션,,,108219.8,7
대가리2-학교무림,이수성,한국,2022-06-24,액션,,,108219.8,7
대가리,이수성,한국,2022-06-24,액션,,,108219.8,7
하로동선,김시우,한국,2022-03-30,드라마,,,-15487.906,5
아부쟁이,황승재,한국,2022-06-16,액션,,,140725.95,7
만해 한용운 님의침묵,한명구,한국,2023-06-29,드라마,,,4915.247,3
나비효과,"민준기, 전원창",한국,2023-06-22,코미디,,,113704.6,7
울지마 엄마,이호경,한국,2023-05-17,다큐멘터리,,,89805.05,9
부적: 남의 운을 빼앗는 자,김세성,한국,2022-09-07,액션,,,176037.44,6
우수,오세현,한국,2022-11-24,드라마,,,32527.266,7
연악: 나의 운명,박한열,한국,2023-08-10,사극,,,22696.166,4
극장판 츠루네: 시작의 한 발,야마무라 타쿠야,일본,2024-02-21,애니메이션,,,151721.52,7
벙커 게임,로베르토 자짜라,이탈리아,2024-03-06,공포(호러),,,19288.18,3
대결! 애니메이션,요시노 코헤이,일본,2024-03-06,드라마,,,18816.262,7
오키쿠와 세계,사카모토 준지,일본,2024-02-21,드라마,,,10715.341,4
콜로니얼,,미국,2024-02-29,SF,,,629893.6,8
조폭인 내가 고등학생이 되었습니다,이성택,한국,2024-02-22,판타지,,,118787.88,7
레이니 데이 인 뉴욕,우디 앨런,미국,2020-05-06,코미디,84144.0,747813040.0,112611.58,4
킹 VS. 머신킹,,미국,2024-02-15,액션,,,155541.88,8
아이엠 티라노,,중국,2024-03-01,애니메이션,45256.0,380985500.0,95222.99,4
극장판 후르츠 바스켓: 프렐류드,이바타 요시히데,일본,2024-03-01,애니메이션,,,63095.53,5
얌전한 와이프 : 색녀의 복수,,한국,2024-02-29,드라마,,,43197.652,8
우주전함 야마토,야마자키 타카시,일본,2024-02-23,SF,,,558879.75,9
2대1 여친 팔아먹기 2,,한국,2024-02-17,,,,15991.804,7
여기는 아미코,,일본,2024-02-28,가족,,,10730.465,9
듄: 파트2,드니 빌뇌브,미국,2024-02-28,액션,1993107.0,23350610937.0,2474262.0,8
출장도우미와 2대1,,한국,2024-01-21,,,,9178.631,8
잘 빠는 여자,,한국,2024-01-16,,,,-24789.23,10
맛 ： 2대1,,한국,2024-01-16,,,,-24789.23,5
엄마 친구들 4,,한국,2024-01-06,기타,,,10951.85,6
관능 육체 부녀회장의 동정교육,,한국,2024-01-03,,,,72587.26,5
"자우림, 더 원더랜드","김지환, 허민",한국,2023-06-07,다큐멘터리,,,106906.58,7
아기상어 극장판: 사이렌 스톤의 비밀,,미국,2024-02-07,애니메이션,95668.0,847021633.0,215163.86,8
유어 럭키 데이,,미국,2024-02-22,액션,,,155541.88,6
콘크리트 유토피아,엄태화,한국,2023-08-09,드라마,3840463.0,37342791632.0,4335807.0,3
월레스와 그로밋 더 클래식 컬렉션,닉 파크,영국,2024-02-21,애니메이션,,,151721.52,9
서바이벌 택틱스,박근영,한국,2024-02-21,드라마,,,10715.341,9
벗어날 탈 脫,서보형,한국,2024-02-21,미스터리,,,10730.465,5
K스쿨,박미경,한국,2024-02-21,드라마,,,10715.341,9
친구부부 맞교환 후기,,한국,2024-01-24,드라마,,,76288.89,7
출장 간호사의 특별한서비스,,한국,2024-01-03,기타,,,78925.07,7
사랑의 불시착: 라이브 인 서울,박재석,한국,2023-11-30,드라마,,,58430.227,7
스노우 퍼핀즈,,스페인,2024-02-15,애니메이션,,,157100.83,4
"타르콥스키, 기도하는 영혼",,이탈리아,2024-01-31,다큐멘터리,,,78925.07,5
정글번치: 월드투어,,프랑스,2024-01-31,애니메이션,20714.0,164238900.0,131399.19,6
도그맨,뤽 베송,프랑스,2024-01-24,드라마,35065.0,330540933.0,49154.62,10
극장판 오드 택시 인 더 우즈,키노시타 바쿠,일본,2024-02-16,애니메이션,,,88492.445,4
두다다쿵: 후후섬의 비밀,"최병선, 김지윤",한국,2023-02-15,애니메이션,79007.0,719074157.0,208461.89,6
에스파: 마이 퍼스트 페이지,"김지선, 조현정",한국,2024-02-14,공연,,,10730.465,7
대니초 : 코리안 드림,,한국,2024-02-14,공연,,,10730.465,9
"귀멸의 칼날: 인연의 기적, 그리고 합동 강화 훈련으로",소토자키 하루오,일본,2024-02-14,애니메이션,479674.0,5442660700.0,671997.6,7
듣보인간의 생존신고,"권하정, 김아현",한국,2023-09-06,다큐멘터리,,,52106.71,8
통영에서의 하루,한경탁,한국,2022-11-24,드라마,,,32527.266,7
CCTV,김홍익,한국,2021-07-07,공포(호러),,,43260.473,4
살인청부업자,강태호,한국,2022-11-03,범죄,,,34280.465,5
범털 2: 쩐의 전쟁,강태호,한국,2021-05-13,범죄,,,64519.676,4
범털,강태호,한국,2020-05-14,드라마,,,37227.008,8
돼지의 최후,한기중,한국,2023-08-15,드라마,,,152956.86,8
특수요원S,,인도,2024-02-06,액션,,,121018.32,7
겨울 이야기,신상옥,한국,2023-01-18,드라마,,,52832.344,7
드림,이병헌,한국,2023-04-26,코미디,1107622.0,10670875941.0,1179832.0,7
손,최윤호,한국,2023-06-21,공포(호러),,,18510.309,4
귀여운 남자,김정욱,한국,2021-01-14,코미디,,,69155.89,4
플랜 75,하야카와 치에,일본,2024-02-07,드라마,,,10715.341,7
영화 스미코구라시 - 푸른 달밤의 마법의 아이,오오모리 타카히로,일본,2024-02-07,애니메이션,,,151721.52,5
아네모네,정하용,한국,2024-02-07,코미디,,,4563.4106,3
아가일,매튜 본,미국,2024-02-07,액션,135539.0,1395932780.0,263298.9,2
썬 오브 람세스,클레망 코지토르,프랑스,2024-02-07,스릴러,,,57387.934,10
블랙 로터스,,미국,2024-02-07,액션,,,157400.2,10
웡카,폴 킹,미국,2024-01-31,판타지,3526209.0,33906635610.0,3752322.0,8
추락의 해부,쥐스틴 트리에,프랑스,2024-01-31,드라마,71268.0,705476954.0,114864.1,4
신세계로부터,최정민,한국,2023-12-20,드라마,,,65566.27,6
솔라 플라워,한경탁,한국,2023-04-06,드라마,,,-25806.816,7
청춘 돼지는 책가방 소녀의 꿈을 꾸지 않는다,마스이 소이치,일본,2024-02-01,애니메이션,,,157100.83,5
두 세계 사이에서,엠마뉘엘 카레르,프랑스,2024-01-31,드라마,,,76288.89,4
익스트림 페스티벌,김홍기,한국,2023-06-07,코미디,,,17698.275,10
다음 소희,정주리,한국,2023-02-08,드라마,66235.0,639178551.0,52037.58,7
아톰 새로운 시작,데이빗 보워스,미국,2024-01-31,애니메이션,,,156967.25,4
아녜스 V에 의한 제인 B,아녜스 바르다,프랑스,2024-01-31,판타지,,,79755.51,2
봉신연의: 조가풍운,우얼샨,중국,2024-01-24,전쟁,,,11051.636,6
스즈메의 문단속: 다녀왔어,신카이 마코토,일본,2024-01-10,애니메이션,,,156967.25,4
립세의 사계,"DK 웰치먼, 휴 웰치맨",폴란드,2024-01-10,애니메이션,,,156967.25,7
클럽 제로,예시카 하우스너,"오스트리아 ,영국",2024-01-24,미스터리,,,72587.26,7
돈 룩 디퍼,캐서린 하드윅,미국,2023-09-07,SF,,,558802.44,10
사랑엔 정의가 없다,권만회,한국,2023-12-11,드라마,,,43938.535,10
그대들은 어떻게 살 것인가,미야자키 하야오,일본,2023-10-25,애니메이션,1991071.0,19391314658.0,2169778.5,4
일 부코,미켈란젤로 프라마르티노,"이탈리아,독일,프랑스",2024-01-24,드라마,,,76288.89,3
영화 스미코구라시 - 튀어나오는 그림책과 비밀의 아이,만큐,일본,2024-01-24,애니메이션,,,156967.25,2
레트리뷰션,님로드 안탈,미국,2024-01-24,액션,,,171054.3,6
청춘 돼지는 외출하는 여동생의 꿈을 꾸지 않는다,마스이 소이치,일본,2023-08-31,애니메이션,,,110649.65,5
덤 머니,크레이그 질레스피,미국,2024-01-17,코미디,24992.0,233432545.0,237.80527,3
너와 나,조현철,한국,2023-10-25,드라마,,,40702.332,8
남사친과 유부녀의 정사-무삭제,천성준,한국,2024-01-09,,,,-24789.23,7
파라다이스 시티,척 러셀,캐나다,2024-01-18,액션,,,163862.73,10
엔드 오브 에반게리온,"안노 히데아키, 츠루마키 카즈야",일본,2024-01-17,애니메이션,,,156967.25,7
무티: 주술살인,조지 갈로,미국,2024-01-17,범죄,,,126527.8,6
라이즈,세드릭 클라피쉬,"프랑스,벨기에",2024-01-17,드라마,,,76288.89,2
걸즈 앤 판처 최종장 제4화,미즈시마 츠토무,일본,2024-01-17,애니메이션,,,156967.25,7
상견니,황천인,대만,2023-01-25,드라마,328035.0,3256854530.0,340202.16,6
류이치 사카모토: 오퍼스,소라 네오,일본,2023-12-27,공연,31195.0,286201031.0,58346.125,5
사랑하는 기생충,카키모토 켄사쿠,일본,2024-01-16,드라마,,,-22172.572,2
미끼,윤권수,한국,2023-12-14,드라마,,,-1352.1608,10
아마존: 더 비기닝,,미국,2024-01-11,드라마,,,36230.203,10
히즈,이마이즈미 리키야,일본,2024-01-10,드라마,,,76288.89,7
지오디 마스터피스 더 무비,손석,한국,2024-01-10,공연,,,72587.26,7
인투 더 월드,벤자민 레너,미국,2024-01-10,애니메이션,332104.0,3026494116.0,441256.34,6
메이킹 다큐멘터리 `스즈메의 문단속`을 따라가다,마츠모토 소,일본,2024-01-10,다큐멘터리,,,78925.07,7
노 베어스,자파르 파나히,이란,2024-01-10,드라마,,,76288.89,8
위시,"크리스 벅, 폰 비라선손",미국,2024-01-03,애니메이션,1385854.0,13221556880.0,1602198.8,7
클레오의 세계,마리 아마추켈리,프랑스,2024-01-03,드라마,,,76288.89,2
간신의 피,권하,한국,2024-01-03,액션,,,171054.3,3
사위 사랑은 장모 4,,한국,2023-12-16,,,,91781.8,4
여배우들 : 바꿔할래?,,한국,2023-12-12,,,,46340.113,7
라방,최주연,한국,2023-06-28,스릴러,,,100442.055,3
"그리고, 살아간다",츠키카와 쇼,일본,2024-01-01,드라마,,,67748.29,6
자매의 스와핑,,한국,2023-12-29,,,,91220.03,10
참을 수 없는 탐욕,,일본,2023-12-28,,,,16286.961,9
바지 내린 욕정녀,,일본,2023-12-28,,,,16286.961,10
몸으로 받은 상사,히무 롯쿠,일본,2023-12-28,,,,16286.961,6
우리 돈 벌레,윤재연,한국,2023-12-28,코미디,,,-6086.025,5
쉽게 넣는 그녀 무삭제판,,일본,2023-12-22,,,,91220.03,2
가랑이 채운 처형 무삭제판,,일본,2023-12-22,,,,91220.03,5
르네상스 필름 바이 비욘세,,미국,2023-12-21,공연,,,16286.961,9
나 혼자만 레벨업 : 프리뷰,,일본,2023-12-13,애니메이션,,,59913.594,7
착한 형수 6,,한국,2023-12-09,,,,91781.8,6
크리스마스 캐럴,김성수,한국,2022-12-07,드라마,,,82554.266,7
"2021 스웨그 에이지 : 외쳐, 조선!","우진하, 곽기영",한국,2021-05-13,뮤지컬,,,58269.812,7
어쩌면 우린 헤어졌는지 모른다,형슬우,한국,2023-02-08,드라마,,,6193.59,10
캐리와 슈퍼콜라,"오성윤, 이춘백",한국,2023-01-18,애니메이션,87211.0,824147830.0,172172.66,7
소년들,정지영,한국,2023-11-01,드라마,452312.0,4303755719.0,555176.94,6
티처스 라운지,일커 카탁,독일,2023-12-27,드라마,,,65566.27,4
"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",,영국,2023-12-27,애니메이션,60669.0,495304260.0,60460.816,7
2만 종의 벌,,스페인,2023-12-27,드라마,,,65566.27,10
빅슬립,김태훈,한국,2023-11-22,드라마,,,143158.67,9
여대생 하숙집,,한국,2023-12-02,,,,91781.8,7
비닐하우스,이솔희,한국,2023-07-26,범죄,,,162090.66,10
두 사람을 위한 식탁,김보람,한국,2023-10-25,다큐멘터리,,,43338.51,7
물비늘,임승현,한국,2023-12-06,드라마,,,65566.27,10
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,오네 히토시,일본,2023-12-22,애니메이션,907283.0,8779815400.0,1066938.8,9
디셈버,안슐 차우한,일본,2023-12-16,드라마,,,82031.31,6
리빙: 어떤 인생,올리버 허머너스,영국,2023-12-13,드라마,,,65566.27,9
웨스턴 프론트: 서부전선,,캐나다,2023-12-21,전쟁,,,9158.98,7
신 에반게리온 극장판,안노 히데아키,일본,2022-10-05,애니메이션,,,147608.39,7
에반게리온 신극장판: Q,"안노 히데아키, 츠루마키 카즈야, 마사유키, 마에다 마히로",일본,2022-10-14,애니메이션,,,56892.33,7
에반게리온 신극장판: 서,"안노 히데아키, 츠루마키 카즈야, 마사유키",일본,2022-10-14,애니메이션,,,56892.33,7
에반게리온 신극장판: 파,"안노 히데아키, 츠루마키 카즈야, 마사유키",일본,2022-10-14,애니메이션,,,56892.33,7
힐마 아프 클린트 - 미래를 위한 그림,할리나 디르슈카,독일,2023-12-20,다큐멘터리,,,68202.45,7
트롤: 밴드 투게더,월트 도른,미국,2023-12-20,애니메이션,396373.0,3663304436.0,439014.22,3
아쿠아맨과 로스트 킹덤,제임스 완,미국,2023-12-20,액션,868684.0,8898401492.0,957465.3,3
세계를 뒤흔든 43일,이규철,한국,2023-11-16,다큐멘터리,,,61723.812,9
제시는 그때 스무살이었다,한명구,한국,2023-12-14,드라마,,,-1352.1608,7
매트,최지온,한국,2023-11-30,미스터리,,,68055.27,7
매드 하이디,"요하네스 하트만, 산드로 클로프스타인",스위스,2023-12-14,액션,,,40005.145,7
라스트 서바이버,드류 밀레,미국,2023-12-14,SF,,,541676.44,2
조이랜드,사임 사디크,기타,2023-12-13,드라마,,,51221.95,2
인디펜던스 나이트,에드워드 드레이크,미국,2023-12-13,범죄,,,30393.594,2
엘리자벳과 나,프라우케 핀스터발더,"독일,스위스,오스트리아",2023-12-13,드라마,,,65566.27,7
쏘우 X,케빈 그루터트,미국,2023-12-13,공포(호러),50316.0,524302177.0,77332.17,2
무빙 포 워드,,한국,2023-12-13,코미디,,,16479.023,8
노 엑시트,프랑스 칼포운,"미국,프랑스",2023-12-13,공포(호러),,,64674.305,8
찬란한 나의 복수,임성운,한국,2023-03-29,드라마,,,517.74493,7
오픈 더 도어,장항준,한국,2023-10-25,미스터리,,,39275.844,7
강다니엘: 마이 퍼레이드,박재석,한국,2023-08-30,공연,,,39654.312,7
2퍼센트,문신구,한국,2023-04-27,드라마,,,-25806.816,9
제비,이송희일,한국,2023-04-12,드라마,,,72013.99,8
홈그라운드,권아람,한국,2023-12-06,다큐멘터리,,,68202.45,6
스즈메의 문단속,신카이 마코토,일본,2023-03-08,애니메이션,5567283.0,57044797267.0,5680695.5,7
피아니스트의 전설,쥬세페 토르나토레,이탈리아,2020-01-01,드라마,,,148070.98,4
"안녕, 내일 또 만나",백승빈,한국,2023-09-13,드라마,,,49470.527,3
드라이브 마이 카,하마구치 류스케,일본,2021-12-23,드라마,38796.0,366135460.0,24983.205,7
해피 아워,하마구치 류스케,일본,2021-12-09,드라마,,,16878.807,7
과외의 목적,,한국,2023-12-07,드라마,,,-1352.1608,9
팬티 검사하는 아내의 집착,,한국,2023-12-07,드라마,,,-1352.1608,5
매직 프린세스: 얼음 괴물과 사라진 열쇠의 비밀,안드레이 콜핀,러시아,2023-12-07,애니메이션,,,46103.613,7
사랑의 고고학,이완민,"한국,프랑스",2023-04-12,드라마,,,72013.99,7
수라,황윤,한국,2023-06-21,다큐멘터리,19222.0,172810105.0,108126.766,8
늑대들,전규환,한국,2022-04-27,액션,,,147147.61,7
엄마의 땅: 그리샤와 숲의 주인,박재범,한국,2023-01-25,애니메이션,,,133510.62,6
엔시티 네이션 : 투 더 월드 인 시네마,오윤동,한국,2023-12-06,공연,19906.0,442017500.0,70663.84,9
신 울트라맨,히구치 신지,일본,2023-12-06,SF,,,547033.44,3
백남준: 달은 가장 오래된 TV,어맨다 킴,"한국,미국",2023-12-06,다큐멘터리,,,68202.45,9
마에스트로 번스타인,브래들리 쿠퍼,미국,2023-12-06,드라마,,,65566.27,8
뉴클리어 나우,올리버 스톤,미국,2023-12-06,다큐멘터리,,,68202.45,10
나폴레옹,리들리 스콧,미국,2023-12-06,전쟁,208098.0,2089569868.0,185211.23,8
여섯 개의 밤,최창환,한국,2023-03-29,드라마,,,517.74493,2
무경계,진재운,한국,2023-11-30,다큐멘터리,,,61723.812,3
안녕하세요,차봉주,한국,2022-05-25,드라마,16177.0,123435560.0,114759.22,2
바다로 가자,김량,한국,2020-06-18,가족,,,60067.23,9
보호자,정우성,한국,2023-08-15,액션,123511.0,1200062696.0,333198.56,6
비상선언,한재림,한국,2022-08-03,드라마,2043887.0,20792013696.0,2341262.0,7
스노우 폭스: 썰매개가 될 거야!,아론 우들리,미국,2023-11-23,애니메이션,82804.0,680299446.0,216160.72,4
명탐정코난: 흑철의 어영,타치카와 유즈루,일본,2023-07-20,애니메이션,796713.0,7654373755.0,978989.2,10
수운잡방,최연수,한국,2023-12-02,드라마,,,82031.31,4
동백정원,우에다 요시히코,일본,2023-12-01,드라마,,,82128.08,6
레슬리에게,마이클 모리스,미국,2023-11-29,드라마,,,143158.67,7
듄,드니 빌뇌브,미국,2021-10-20,SF,1570974.0,17233468470.0,2222501.0,4
스크린골프_옆 방 커플과 스와핑,,한국,2023-11-29,,,,141098.14,10
비욘드 라이브 더 무비 - 태민 : 엔.지.디.에이,,한국,2023-11-29,공연,,,141098.14,2
은밀한 미용실2,,한국,2023-11-08,,,,141098.14,10
물 많은 여자 2,,한국,2023-11-09,,,,68055.27,2
젖큰 옆집 누나,,한국,2023-11-15,,,,141098.14,7
맛있는 외도:몰래 하는 섹스,핑마,한국,2023-10-31,,,,69911.04,7
쉽게 넣는 그녀,아사기리 키요시,일본,2023-10-18,,,,39275.844,7
가랑이 채운 처형,K.C. 타케다,일본,2023-10-18,,,,39275.844,5
흑인에게 미친 여친 무삭제판,이상수,한국,2023-10-13,,,,1577.2725,7
출장 도우미,,한국,2023-10-04,,,,39275.844,5
귀신이 싼다 무삭제판,신성진,한국,2023-10-04,,,,39275.844,7
친구 여친이 내 물건을 만졌다! 무삭제판,신성진,한국,2023-11-10,,,,24141.027,10
여직원들 ： 2대2 스와핑,,한국,2023-11-10,,,,24141.027,6
사형에 이르는 병,시라이시 카즈야,일본,2023-11-29,,,,141098.14,5
세이퍼 앳 홈,윌 워닉,미국,2023-11-30,범죄,,,60183.453,10
컨트리 카바레,장 피에르 아메리스,프랑스,2023-11-30,코미디,,,92016.555,5
데블스 맨: 제1특전단,,미국,2023-11-23,전쟁,,,126331.63,2
버텨내고 존재하기,권철,한국,2023-11-01,다큐멘터리,,,145794.86,5
이빨요정 비올레타: 요정나라로 돌아갈래!,,독일,2023-11-18,애니메이션,41317.0,347130400.0,133131.8,3
아워 프렌드,가브리엘라 코우퍼스웨이트,미국,2023-11-22,드라마,,,143158.67,6
마크로스 플러스 -무비 에디션-,카와모리 쇼지,일본,2023-11-29,애니메이션,,,248616.83,9
녹야,한슈아이,홍콩,2023-11-01,드라마,,,143158.67,10
여직원들 ： 직장 연애사 3,,한국,2023-11-25,,,,28198.45,7
구멍 속 따뜻한 그녀,K.C. 타케다,일본,2023-11-22,,,,141098.14,8
골프치는 여자들_밤마다 굿샷,,한국,2023-11-22,,,,141098.14,9
총각파티 ： 은밀한 서비스,,한국,2023-11-18,,,,28198.45,2
그림자 고백,이대경,한국,2023-11-25,드라마,,,23260.285,2
콘돌스 네스트,필 블래튼버거,미국,2023-11-16,액션,,,142938.52,9
비투비 타임 : 비투게더 더 무비,,한국,2023-11-15,공연,,,141098.14,8
마루이 비디오,윤준형,한국,2023-02-22,미스터리,153522.0,1574142500.0,133320.39,4
애스터로이드 시티,웨스 앤더슨,미국,2023-06-28,드라마,29075.0,288009694.0,113366.01,8
키리에의 노래,이와이 슌지,일본,2023-11-01,드라마,,,143158.67,4
키리에의 노래: 디렉터스 컷,이와이 슌지,일본,2023-11-24,드라마,,,19861.316,9
비공식작전,김성훈,한국,2023-08-02,드라마,1041899.0,10034040641.0,1172821.1,7
테일러 스위프트 디 에라스 투어,,미국,2023-11-03,공연,13723.0,397500500.0,67433.89,8
걸스 인 원더랜드 : 벤타엑스 브이알 뮤직시네마 02,,한국,2023-11-03,,,,24141.027,7
어게인 5년째 첫날밤,정도수,한국,2023-11-02,,,,68055.27,2
타임코드 57,러스티 컨디에프,미국,2023-11-22,SF,,,609313.0,9
본 투 플라이,류효세,중국,2023-11-22,액션,,,248559.83,9
퀴어 마이 프렌즈,서아현,한국,2023-08-09,다큐멘터리,,,132007.12,4
너는 내 아들,,미국,2023-06-28,드라마,,,104270.38,7
탑건: 매버릭,조셉 코신스키,미국,2022-06-22,액션,8156312.0,87637459439.0,8377004.5,9
스트리머,장형모,한국,2023-05-10,공포(호러),,,90594.125,4
나는 여기에 있다,신근호,한국,2023-04-12,범죄,,,123096.83,5
서태지 25주년 라이브 타임: 트래블러,서태지,한국,2023-09-06,공연,,,48147.01,9
스프린터,최승연,한국,2023-05-24,드라마,,,87168.85,9
티빙 오리지널 운수 오진 날,필감성,한국,2023-11-17,스릴러,,,10372.587,7
멍뭉이,김주환,한국,2023-03-01,드라마,147610.0,1399656884.0,102394.414,4
마이 대디,카나이 준이치,일본,2023-11-16,드라마,,,58430.227,6
잔고: 분노의 적자,백승기,한국,2023-09-13,서부극(웨스턴),,,48147.01,6
헝거게임: 노래하는 새와 뱀의 발라드,프란시스 로렌스,미국,2023-11-15,액션,168880.0,1662938003.0,371369.38,5
프레디의 피자가게,엠마 타미,미국,2023-11-15,공포(호러),709645.0,6934650101.0,842639.94,10
여귀교- 저주를 부르는 게임,해악륭,대만,2023-11-15,공포(호러),,,142266.72,6
세일즈걸,생게도르지 잔치브로드지,몽고,2023-11-15,드라마,,,143158.67,8
브루스 윌리스의 라스트 미션: 데이 투 다이,,캐나다,2023-11-15,액션,,,248559.83,4
더 챔피언,다니엘 그레이엄,영국,2023-11-15,액션,,,248559.83,9
더 와일드: 야수들의 전쟁,김봉한,한국,2023-11-15,액션,,,248559.83,2
금의 나라 물의 나라,와타나베 코토노,일본,2023-11-15,애니메이션,,,248616.83,10
다이브: 100 피트 추락,맥시밀리언 엘렌와인,독일,2023-11-08,스릴러,,,158957.28,2
이니셰린의 밴시,마틴 맥도나,미국,2023-03-15,드라마,,,517.74493,7
백지영 콘서트 인 시네마,조윤수,한국,2023-11-10,공연,,,24141.027,7
